"FullName","SizeMB","CreationTime","Extension"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_083200.jpg","5.12","18-10-2025 00:49:39",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_083203.jpg","5.31","18-10-2025 00:49:40",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_083212.jpg","4.87","18-10-2025 00:49:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_083214.jpg","4.61","18-10-2025 00:49:43",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_084353.jpg","4.8","18-10-2025 00:49:45",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_084357.jpg","4.87","18-10-2025 00:49:46",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_093622.jpg","3.19","18-10-2025 00:49:48",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240803_093624.jpg","3.65","18-10-2025 00:49:49",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_075343.jpg","3.56","18-10-2025 00:49:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_075346.jpg","3.82","18-10-2025 00:49:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_080244.jpg","4.04","18-10-2025 00:49:54",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_080252.jpg","2.63","18-10-2025 00:49:55",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_080254.jpg","2.62","18-10-2025 00:49:56",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082023.jpg","4.64","18-10-2025 00:49:58",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082025.jpg","4.66","18-10-2025 00:50:00",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082027.jpg","4.87","18-10-2025 00:50:02",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082028.jpg","5.48","18-10-2025 00:50:02",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082031.jpg","2.97","18-10-2025 00:50:04",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082117.jpg","2.72","18-10-2025 00:50:06",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082120.jpg","2.79","18-10-2025 00:50:07",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082142.jpg","4.4","18-10-2025 00:50:09",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082149.jpg","3.99","18-10-2025 00:50:10",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082157.jpg","4.48","18-10-2025 00:50:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082227.jpg","4.41","18-10-2025 00:50:13",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082231.jpg","4.65","18-10-2025 00:50:15",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082241.jpg","4.87","18-10-2025 00:50:16",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082243.jpg","5","18-10-2025 00:50:17",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082314.jpg","5.11","18-10-2025 00:50:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_082315.jpg","6.34","18-10-2025 00:50:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_083131.jpg","4.23","18-10-2025 00:50:23",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_085644.jpg","4.83","18-10-2025 00:50:23",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091809.jpg","4.07","18-10-2025 00:50:25",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091813.jpg","4.46","18-10-2025 00:50:26",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091817.jpg","4.46","18-10-2025 00:50:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091824.jpg","4.66","18-10-2025 00:50:30",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091836.jpg","4.8","18-10-2025 00:50:31",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091840.jpg","5","18-10-2025 00:50:33",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091846.jpg","4.36","18-10-2025 00:50:34",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091848.jpg","4.32","18-10-2025 00:50:37",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091900.jpg","4.45","18-10-2025 00:50:40",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091908.jpg","4.52","18-10-2025 00:50:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091910.jpg","4.41","18-10-2025 00:50:42",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091920.jpg","4.58","18-10-2025 00:50:43",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091931.jpg","4.73","18-10-2025 00:50:46",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091943.jpg","4.74","18-10-2025 00:50:48",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_091944.jpg","4.68","18-10-2025 00:50:50",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092054.jpg","6.67","18-10-2025 00:50:50",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092056.jpg","5.24","18-10-2025 00:50:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092057.jpg","5.06","18-10-2025 00:50:52",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092058.jpg","5.15","18-10-2025 00:50:55",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092059.jpg","4.85","18-10-2025 00:50:57",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092119.jpg","4.88","18-10-2025 00:50:57",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092126.jpg","5.25","18-10-2025 00:50:59",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092129.jpg","4.87","18-10-2025 00:51:00",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092256.jpg","4.27","18-10-2025 00:51:03",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092301.jpg","4.53","18-10-2025 00:51:04",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092306.jpg","4.6","18-10-2025 00:51:05",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092330.jpg","2.17","18-10-2025 00:51:08",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092408.jpg","6.23","18-10-2025 00:51:11",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092412.jpg","5.71","18-10-2025 00:51:12",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092413.jpg","5.06","18-10-2025 00:51:13",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092457.jpg","4.62","18-10-2025 00:51:14",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092506.jpg","4.6","18-10-2025 00:51:15",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092520.jpg","4.87","18-10-2025 00:51:17",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092540.jpg","4.33","18-10-2025 00:51:19",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092541.jpg","4.13","18-10-2025 00:51:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092604.jpg","4.04","18-10-2025 00:51:21",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092628.jpg","4.25","18-10-2025 00:51:23",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092630.jpg","4.47","18-10-2025 00:51:25",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092819.jpg","4.54","18-10-2025 00:51:26",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092840.jpg","4.09","18-10-2025 00:51:28",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092855.jpg","3.34","18-10-2025 00:51:29",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092859.jpg","5.02","18-10-2025 00:51:30",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_092904.jpg","5.49","18-10-2025 00:51:32",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_093009.jpg","4.49","18-10-2025 00:51:34",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_093014.jpg","5.04","18-10-2025 00:51:36",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_093059.jpg","4.77","18-10-2025 00:51:36",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094058.jpg","5.49","18-10-2025 00:51:38",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094106.jpg","5.73","18-10-2025 00:51:39",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094111.jpg","6.31","18-10-2025 00:51:41",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094132.jpg","5.4","18-10-2025 00:51:43",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094200.jpg","5.95","18-10-2025 00:51:44",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094206.jpg","5.87","18-10-2025 00:51:46",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094240.jpg","4.85","18-10-2025 00:51:48",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094245.jpg","4.99","18-10-2025 00:51:49",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094248.jpg","4.9","18-10-2025 00:51:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094322.jpg","5.51","18-10-2025 00:51:51",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094333.jpg","5.23","18-10-2025 00:51:54",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094335.jpg","5.65","18-10-2025 00:51:55",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094339.jpg","5.5","18-10-2025 00:51:57",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094342.jpg","4.61","18-10-2025 00:51:58",".jpg"
"C:\All phones data\mom new one storage\Camera\IMG_20240804_094448.jpg","2.89","18-10-2025 00:51:59",".jpg"
